stem,grid,eff_res_ang,supercell_na,supercell_nb,supercell_nc,cif_n_sites,cif_radius_fallback_count,cif_radius_fallback_fraction,cif_low_confidence,cif_mask_void_fraction,metal_n_detected,metal_n_true,metal_detection_rate,metal_false_positives,metal_n_peaks,metal_precision,metal_recall,metal_f1,vox_vf_t05,vf_error_zeo_t05_pct,vf_error_cif_t05_pct,vox_vf_t10,vf_error_zeo_t10_pct,vf_error_cif_t10_pct,vox_vf_t20,vf_error_zeo_t20_pct,vf_error_cif_t20_pct,zeo_void_fraction,cif_proxy_void_fraction,zeo_sasa_m2g,vox_surface_area_ang2,cif_surface_area_ang2,surface_area_proxy_error_pct,vox_psd_peak_t05_ang,vox_psd_width_t05_ang,vox_psd_peak_t10_ang,vox_psd_width_t10_ang,vox_psd_peak_t20_ang,vox_psd_width_t20_ang,vox_psd_peak_ang,vox_psd_width_ang,cif_psd_peak_ang,cif_psd_width_ang,psd_peak_error_vs_cif_ang,psd_peak_error_vs96_ang,n_pore_components,largest_void_frac,channel_entropy,ssim_vs_cif,psnr_vs_cif,mi_vs_cif,ssim_vs96,psnr_vs96,mi_vs96
DB0-m2_o6_o9_f0_nbo.sym.118_repeat,64,1.0012363125,2,2,3,472,0,0.0,False,0.8295669555664062,3.0,144.0,0.020833333333333332,53.0,56.0,0.05357142857142857,0.020833333333333332,0.03,0.8660316467285156,,4.3956296616482575,0.9050445556640625,,9.098433778153826,0.9489097595214844,,14.386156916483497,,0.8295669555664062,,21553.194299574847,15552.384016911821,38.584504318679905,1.2452719406405721,2.01612111399334,0.7982465996159817,2.161723822467135,4.008854421501665,2.2500984934450425,0.7982465996159817,2.161723822467135,1.2587834241148483,3.2168909680948525,0.4605368244988667,2.141579976151906,3,0.9999915701448249,3.2464483494586545,0.20694530839699488,6.609161760412832,0.0020313138344525417,0.6012191680139326,12.744641157449406,0.10848978069215054
DB0-m2_o6_o9_f0_nbo.sym.118_repeat,96,0.6674908749999999,2,2,3,472,0,0.0,False,0.8303177445023148,1.0,144.0,0.006944444444444444,55.0,56.0,0.017857142857142856,0.006944444444444444,0.01,0.9420878092447916,,13.461119611441145,0.9608063874421297,,15.715506961498052,0.9803851092303241,,18.073486411874573,,0.8303177445023148,,16740.42727478916,15896.121265534497,5.311396378720774,0.788374260837155,2.183870083871799,0.8072225218330992,2.224368742577387,1.3785949063995857,2.2801570477920095,0.8072225218330992,2.224368742577387,1.25354626382995,3.299551236597502,0.44632374199685076,,1,1.0,3.1787061050507472,0.4101586827424527,7.2277296048871715,0.0008296334550900175,,,
DB6-cuf_10725_repeat,32,1.331825,4,5,2,60,0,0.0,False,0.705108642578125,28.0,80.0,0.35,36.0,64.0,0.4375,0.35,0.38888888888888884,0.478973388671875,,32.07098030729279,0.573455810546875,,18.671283272019043,0.691986083984375,,1.8610690326769097,,0.705108642578125,,13375.907800743125,4241.054973024376,215.3910497699707,1.298529375,0.5161733175220616,1.298529375,0.6234398508557543,1.3205399150473276,0.7839240041791848,1.298529375,0.6234398508557543,1.1167692128001216,3.0793264227640096,0.18176016219987834,0.007661006733238329,1,0.9999822610114771,3.484605901950093,-0.026068388357436127,3.2640902704978716,7.560384440497003e-06,0.06888569096208544,4.37573530599248,0.05506850086885828
DB6-cuf_10725_repeat,64,0.6659125,4,5,2,60,0,0.0,False,0.7049179077148438,16.0,80.0,0.2,48.0,64.0,0.25,0.2,0.22222222222222224,0.8086471557617188,,14.715081984955896,0.8576736450195312,,21.670003788083772,0.9167289733886719,,30.04762162454678,,0.7049179077148438,,13688.976057848438,4377.190886524844,212.73427211022184,0.5885890555336085,0.8939649363248869,0.5885890555336085,0.9420910727460327,0.6393713709784443,1.0200185267141697,0.5885890555336085,0.9420910727460327,1.8406940555548024,3.1356014855292695,1.252105000021194,0.818027960618969,1,0.9999663949600347,3.2823915248839666,0.08378873516359485,4.486024239845985,3.205076421930464e-05,0.5341982403392902,11.325327998662942,0.15150865524742796
DB6-cuf_10725_repeat,96,0.4439416666666667,4,5,2,60,0,0.0,False,0.7050329137731481,14.0,80.0,0.175,50.0,64.0,0.21875,0.175,0.19444444444444442,0.9289324725115741,,31.757320029241644,0.9522829408998843,,35.06928858165216,0.9766224048755787,,38.52153364712522,,0.7050329137731481,,9433.829564280764,4419.613261307292,113.45373467112596,0.8823864125586358,1.023185775958925,1.948576494824271,1.0460713865734097,2.2641025,1.0699604958648925,1.948576494824271,1.0460713865734097,1.1087993039102941,3.1422576509713203,0.8397771909139768,,1,1.0,3.1774523185360137,0.2938222970015746,5.01790500228058,2.0612410511766655e-06,,,
DB0-m29_o84_o110_f0_pts.sym.12_repeat,32,1.36999025,3,3,4,97,0,0.0,False,0.596954345703125,67.0,72.0,0.9305555555555556,5.0,72.0,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.25299072265625,,57.61975359132969,0.374298095703125,,37.29870661009151,0.5408935546875,,9.39113542252441,,0.596954345703125,,16595.313586810546,6580.31773754329,152.1962350256703,1.3019413141925709,0.2986653760305765,1.4262052526623838,0.37292723166018066,1.3357404937500001,0.5263218795861161,1.4262052526623838,0.37292723166018066,1.4224992128268874,2.140881926809548,0.003706039835496444,0.06782347701568314,3,0.9998369343660823,3.5700659754299315,0.005627424593654354,2.9148698273967533,0.00039125752733881747,0.08652730671908397,2.8836059672980903,0.056075508393714
DB0-m29_o84_o110_f0_pts.sym.12_repeat,64,0.684995125,3,3,4,97,0,0.0,False,0.5961494445800781,70.0,72.0,0.9722222222222222,2.0,72.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.6991386413574219,,17.275734753034673,0.7743644714355469,,29.894354255584638,0.8621673583984375,,44.62268919930636,,0.5961494445800781,,21910.618730199763,6739.382748455097,225.11313792383208,0.6455420370365226,0.6664164132057464,0.6989803838637452,0.7020882817687545,0.7291659689627155,0.7485213563809472,0.6989803838637452,0.7020882817687545,0.8565863353403735,2.211025795690214,0.15760595147662837,0.06858867143315239,1,0.99999507377029,3.3657366796314583,0.013921492544445992,3.5219163006682312,2.336976185723927e-05,0.4351352623661445,9.20877847005897,0.1813836501956766
DB0-m29_o84_o110_f0_pts.sym.12_repeat,96,0.4566634166666667,3,3,4,97,0,0.0,False,0.5960512514467593,66.0,72.0,0.9166666666666666,6.0,72.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8763269495081019,,47.022080296123235,0.9138285319010416,,53.313751071398755,0.95477294921875,,60.183029043439994,,0.5960512514467593,,16498.550341890088,6814.718356704051,142.10171981149395,0.5137463437500001,0.7605702966449609,0.7324431358972554,0.7761959426298096,0.55343951164848,0.8259134983594422,0.7324431358972554,0.7761959426298096,0.8534995276961324,2.2565692797936325,0.12105639179887695,,1,1.0,3.2152523519307414,0.0979306199365848,3.778485229510288,1.60868232975675e-05,,,
DB13-pcu-Syn038542_repeat,32,1.5229,2,2,2,712,0,0.0,False,0.590576171875,64.0,256.0,0.25,0.0,64.0,1.0,0.25,0.4,0.259521484375,,56.05622157916494,0.3463134765625,,41.36006614303432,0.4791259765625,,18.871434477056635,,0.590576171875,,15074.958665,13785.469893039999,9.353970390309565,1.6415385653004773,0.6605686934039819,1.6415385653004773,0.7706457824826437,1.5669967594374596,0.911054418163264,1.6415385653004773,0.7706457824826437,1.462202107428638,2.0960257668485376,0.17933645787183927,0.18778712725733682,31,0.8840324286217836,3.584339391832201,-0.07320717135603544,2.6752574419260586,0.0003425790743876167,0.14419024648347425,3.163532786532022,0.08179475473037878
DB13-pcu-Syn038542_repeat,64,0.76145,2,2,2,712,0,0.0,False,0.59844970703125,256.0,256.0,1.0,0.0,256.0,1.0,1.0,1.0,0.605712890625,,1.2136664966853645,0.6861419677734375,,14.653238143804181,0.7924346923828125,,32.414584395716474,,0.59844970703125,,29006.53969587,14587.9215389,98.83942766295708,0.699436486740844,1.0497044345828617,0.7494579119582867,1.0658256206925407,0.7790921085177847,1.1220115830429025,0.7494579119582867,1.0658256206925407,0.8604300768393021,2.1447506333971194,0.11097216488101536,0.02963419655949795,69,0.9985322569884582,3.379073915120659,-0.0252461590486475,3.0968411299150587,0.0017460672086517803,0.5223734609686901,8.46784519502174,0.24215789881654737
